Code Officiel du département;Nom Officiel du département;Nom Officiel Commune;Code B.Vote;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs;% Blancs/Ins;% Blancs/Vot;Nuls;% Nuls/Ins;% Nuls/Vot;Exprimés;% Exp/Ins;% Exp/Vot;N.Pan.;Code Nuance;Sexe;Nom;Prénom;Liste;Voix;% Voix/Ins;% Voix/Exp;Nom Prénom;Code Officiel Commune;Localisation;Nom du bureau;Code Officiel Région;Nom Officiel Région;Code Iso 3166-3 Zone
34;Hérault;Montpellier;0125;1006;627;62,33;379;37,67;10;0,99;2,64;6;0,60;1,58;363;36,08;95,78;4;LUG;M;DELAFOSSE;Michaël;MONTPELLIER UNIE;180;17,89;49,59;DELAFOSSE Michaël;34172;43.636338, 3.873792;ECOLE MATERNELLE TERESA;76;Occitanie;FXX
34;Hérault;Saint-André-de-Sangonis;0003;1447;731;50,52;716;49,48;10;0,69;1,40;8;0,55;1,12;698;48,24;97,49;4;LDIV;M;GARRO;René;Saint André J'aime;236;16,31;33,81;GARRO René;34239;43.651341, 3.503949;Salle 5 - Ecole Roger Gaubil;76;Occitanie;FXX
34;Hérault;Montpellier;0057;978;703;71,88;275;28,12;7;0,72;2,55;2;0,20;0,73;266;27,20;96,73;3;LDIV;M;ALTRAD;Mohed;COEUR ECOLOGIE DEMOCRATIE;41;4,19;15,41;ALTRAD Mohed;34172;43.592575, 3.868946;ECOLE ELEMENTAIRE GARIBALDI;76;Occitanie;FXX
34;Hérault;Montpellier;0108;1341;919;68,53;422;31,47;10;0,75;2,37;4;0,30;0,95;408;30,43;96,68;3;LDIV;M;ALTRAD;Mohed;COEUR ECOLOGIE DEMOCRATIE;95;7,08;23,28;ALTRAD Mohed;34172;43.596516, 3.840157;ECOLE MATERN. HELENE BOUCHER;76;Occitanie;FXX
34;Hérault;Montpellier;0010;1414;920;65,06;494;34,94;16;1,13;3,24;4;0,28;0,81;474;33,52;95,95;1;LDVG;M;SAUREL;Philippe;MONTPELLIER LA CITOYENNE;107;7,57;22,57;SAUREL Philippe;34172;43.605907, 3.869729;ECOLE ELEMENTAIRE SEVIGNE;76;Occitanie;FXX
34;Hérault;Sète;0027;1142;501;43,87;641;56,13;6;0,53;0,94;6;0,53;0,94;629;55,08;98,13;2;LDVD;M;PACULL;Sébastien;UNION DES DROITES ET DES CITOYENS;92;8,06;14,63;PACULL Sébastien;34301;43.415805, 3.670951;GYMNASE MAURICE VIE II;76;Occitanie;FXX
34;Hérault;Sète;0031;840;394;46,90;446;53,10;3;0,36;0,67;2;0,24;0,45;441;52,50;98,88;2;LDVD;M;PACULL;Sébastien;UNION DES DROITES ET DES CITOYENS;52;6,19;11,79;PACULL Sébastien;34301;43.396252, 3.665048;GYMNASE DU LIDO II;76;Occitanie;FXX
34;Hérault;Mons;0001;550;244;44,36;306;55,64;5;0,91;1,63;14;2,55;4,58;287;52,18;93,79;18;NC;M;CAHUZAC;Robert;;108;19,64;37,63;CAHUZAC Robert;34160;43.569624, 2.958274;Bureau 1;76;Occitanie;FXX
34;Hérault;Montpellier;0022;1111;673;60,58;438;39,42;10;0,90;2,28;9;0,81;2,05;419;37,71;95,66;4;LUG;M;DELAFOSSE;Michaël;MONTPELLIER UNIE;213;19,17;50,84;DELAFOSSE Michaël;34172;43.614009, 3.891747;ECOLE MATERN.VASCO DE GAMA;76;Occitanie;FXX
34;Hérault;Montpellier;0008;1278;778;60,88;500;39,12;17;1,33;3,40;1;0,08;0,20;482;37,72;96,40;4;LUG;M;DELAFOSSE;Michaël;MONTPELLIER UNIE;275;21,52;57,05;DELAFOSSE Michaël;34172;43.610476, 3.87048;ECOLE ELEMENTAIRE GAMBETTA;76;Occitanie;FXX
34;Hérault;Agde;0010;1391;769;55,28;622;44,72;3;0,22;0,48;3;0,22;0,48;616;44,28;99,04;5;LLR;M;D'ETTORE;Gilles;L'UNION AGATHOISE AVEC GILLES D'ETTORE;357;25,66;57,95;D'ETTORE Gilles;34003;43.312926, 3.492567;ECOLE FREDERIC BAZILLE;76;Occitanie;FXX
34;Hérault;Sète;0012;1148;525;45,73;623;54,27;7;0,61;1,12;5;0,44;0,80;611;53,22;98,07;4;LUG;F;CALUEBA;Véronique;ENSEMBLE POUR SÈTE!;228;19,86;37,32;CALUEBA Véronique;34301;43.407114, 3.686958;GYMNASE VINCENT FERRARI II;76;Occitanie;FXX
34;Hérault;Frontignan;0008;944;471;49,89;473;50,11;6;0,64;1,27;5;0,53;1,06;462;48,94;97,67;4;LDVG;M;ARROUY;Michel;passion Frontignan la Peyrade;287;30,40;62,12;ARROUY Michel;34108;43.447076, 3.747943;08-Groupe scolaire des Terres-Blanches;76;Occitanie;FXX
34;Hérault;Montpellier;0019;1294;817;63,14;477;36,86;11;0,85;2,31;6;0,46;1,26;460;35,55;96,44;1;LDVG;M;SAUREL;Philippe;MONTPELLIER LA CITOYENNE;165;12,75;35,87;SAUREL Philippe;34172;43.641991, 3.856878;ECOLE ELEMENT.DOCTEUR CALMETTE;76;Occitanie;FXX
34;Hérault;Cruzy;0001;794;155;19,52;639;80,48;5;0,63;0,78;9;1,13;1,41;625;78,72;97,81;12;NC;F;MARTIN;Catherine;;296;37,28;47,36;MARTIN Catherine;34092;43.354805, 2.941654;BUREAU DE LA MAIRIE;76;Occitanie;FXX
34;Hérault;Sète;0019;1326;748;56,41;578;43,59;6;0,45;1,04;14;1,06;2,42;558;42,08;96,54;7;LDVD;M;COMMEINHES;François;Liste de rassemblement Républicain : Sète comme au premier jour;249;18,78;44,62;COMMEINHES François;34301;43.410007, 3.674174;ECOLE AGNES VARDA II;76;Occitanie;FXX
34;Hérault;Graissessac;0001;501;86;17,17;415;82,83;2;0,40;0,48;9;1,80;2,17;404;80,64;97,35;6;NC;F;CZARNECKI EP PETERGAC;Casimira;;225;44,91;55,69;CZARNECKI EP PETERGAC Casimira;34117;43.676779, 3.094974;SALLE JEAN MOULIN;76;Occitanie;FXX
34;Hérault;Vélieux;0001;80;13;16,25;67;83,75;0;0,00;0,00;0;0,00;0,00;67;83,75;100,00;8;NC;M;DORIGNY;Pascal;;30;37,50;44,78;DORIGNY Pascal;34326;43.385478, 2.735016;MAIRIE;76;Occitanie;FXX
34;Hérault;Castelnau-le-Lez;0001;776;410;52,84;366;47,16;5;0,64;1,37;8;1,03;2,19;353;45,49;96,45;2;LDVG;F;BORNE;Mathilde;Ensemble pour Castelnau;166;21,39;47,03;BORNE Mathilde;34057;43.632959, 3.896032;LE KIASMA - Espace LAGOYA;76;Occitanie;FXX
34;Hérault;Saint-Jean-de-Védas;0009;879;470;53,47;409;46,53;3;0,34;0,73;4;0,46;0,98;402;45,73;98,29;1;LDVD;M;CHAVEROCHE;Eric;UNE NOUVELLE ENERGIE POUR SAINT JEAN;24;2,73;5,97;CHAVEROCHE Eric;34270;43.574601, 3.831098;CHATEAU DU TERRAL;76;Occitanie;FXX
34;Hérault;Lunel;0011;929;609;65,55;320;34,45;10;1,08;3,13;7;0,75;2,19;303;32,62;94,69;1;LRN;F;PLANE;Julia;LUNEL SE RASSEMBLE;54;5,81;17,82;PLANE Julia;34145;43.676366, 4.132554;SALLE D'EXPOSITION LE BOCAL;76;Occitanie;FXX
34;Hérault;Montpellier;0069;1534;956;62,32;578;37,68;21;1,37;3,63;8;0,52;1,38;549;35,79;94,98;3;LDIV;M;ALTRAD;Mohed;COEUR ECOLOGIE DEMOCRATIE;97;6,32;17,67;ALTRAD Mohed;34172;43.610934, 3.854371;ECOLE ELEMENT. PAUL LANGEVIN;76;Occitanie;FXX
34;Hérault;Montpellier;0071;1037;567;54,68;470;45,32;17;1,64;3,62;7;0,68;1,49;446;43,01;94,89;4;LUG;M;DELAFOSSE;Michaël;MONTPELLIER UNIE;282;27,19;63,23;DELAFOSSE Michaël;34172;43.610476, 3.87048;ECOLE ELEMENTAIRE JEANNE D'ARC;76;Occitanie;FXX
34;Hérault;Cabrerolles;0001;315;30;9,52;285;90,48;0;0,00;0,00;2;0,63;0,70;283;89,84;99,30;33;NC;M;PONS;Christophe;;0;0,00;0,00;PONS Christophe;34044;;;76;Occitanie;FXX
34;Hérault;Montpellier;0048;1399;1038;74,20;361;25,80;8;0,57;2,22;7;0,50;1,94;346;24,73;95,84;4;LUG;M;DELAFOSSE;Michaël;MONTPELLIER UNIE;131;9,36;37,86;DELAFOSSE Michaël;34172;43.591088, 3.887045;ECOLE MATERNELLE JEAN COCTEAU;76;Occitanie;FXX
34;Hérault;Castelnau-le-Lez;0004;1017;628;61,75;389;38,25;5;0,49;1,29;7;0,69;1,80;377;37,07;96,92;2;LDVG;F;BORNE;Mathilde;Ensemble pour Castelnau;204;20,06;54,11;BORNE Mathilde;34057;43.63315, 3.905138;CENTRE ANDRE MALRAUX;76;Occitanie;FXX
34;Hérault;Lacoste;0001;243;65;26,75;178;73,25;2;0,82;1,12;2;0,82;1,12;174;71,60;97,75;5;NC;M;THIERS;Adrien;;0;0,00;0,00;THIERS Adrien;34124;45.054024, 1.149164;MAIRIE;76;Occitanie;FXX
34;Hérault;Minerve;0001;112;22;19,64;90;80,36;0;0,00;0,00;3;2,68;3,33;87;77,68;96,67;12;NC;M;CLERGET;Guy;;32;28,57;36,78;CLERGET Guy;34158;43.241869, 2.970197;Mairie;76;Occitanie;FXX
34;Hérault;Montpellier;0018;993;753;75,83;240;24,17;5;0,50;2,08;3;0,30;1,25;232;23,36;96,67;1;LDVG;M;SAUREL;Philippe;MONTPELLIER LA CITOYENNE;85;8,56;36,64;SAUREL Philippe;34172;43.641991, 3.856878;ECOLE ELEMENT.DOCTEUR CALMETTE;76;Occitanie;FXX
34;Hérault;Montpellier;0114;1347;1002;74,39;345;25,61;9;0,67;2,61;1;0,07;0,29;335;24,87;97,10;3;LDIV;M;ALTRAD;Mohed;COEUR ECOLOGIE DEMOCRATIE;71;5,27;21,19;ALTRAD Mohed;34172;43.634133, 3.83082;ECOLE MATERNELLE M. YOURCENAR;76;Occitanie;FXX
34;Hérault;Sète;0023;1035;517;49,95;518;50,05;7;0,68;1,35;10;0,97;1,93;501;48,41;96,72;7;LDVD;M;COMMEINHES;François;Liste de rassemblement Républicain : Sète comme au premier jour;193;18,65;38,52;COMMEINHES François;34301;43.407114, 3.686958;RESTAURANT SCOLAIRE JEAN MACE;76;Occitanie;FXX
34;Hérault;Vacquières;0001;533;262;49,16;271;50,84;1;0,19;0,37;1;0,19;0,37;269;50,47;99,26;24;NC;F;BOUIS;Vinciane;;27;5,07;10,04;BOUIS Vinciane;34318;43.673195, 3.478175;Bureau unique;76;Occitanie;FXX
34;Hérault;Frontignan;0005;1063;492;46,28;571;53,72;25;2,35;4,38;14;1,32;2,45;532;50,05;93,17;4;LDVG;M;ARROUY;Michel;passion Frontignan la Peyrade;325;30,57;61,09;ARROUY Michel;34108;43.455865, 3.757977;05 - Groupe scolaire des Crozes;76;Occitanie;FXX
34;Hérault;Murles;0001;311;44;14,15;267;85,85;2;0,64;0,75;2;0,64;0,75;263;84,57;98,50;28;NC;M;MOREAU;David;;0;0,00;0,00;MOREAU David;34177;43.688874, 3.745781;Salle Coquin;76;Occitanie;FXX
34;Hérault;Sète;0009;1084;593;54,70;491;45,30;3;0,28;0,61;9;0,83;1,83;479;44,19;97,56;7;LDVD;M;COMMEINHES;François;Liste de rassemblement Républicain : Sète comme au premier jour;262;24,17;54,70;COMMEINHES François;34301;43.396208, 3.669161;ECOLE LANGEVIN II (Maternelle);76;Occitanie;FXX
34;Hérault;Montpellier;0025;1667;1042;62,51;625;37,49;21;1,26;3,36;7;0,42;1,12;597;35,81;95,52;1;LDVG;M;SAUREL;Philippe;MONTPELLIER LA CITOYENNE;187;11,22;31,32;SAUREL Philippe;34172;43.617285, 3.884044;ECOLE ELEMENTAIRE JULES VERNE;76;Occitanie;FXX
34;Hérault;Mauguio;0006;1271;746;58,69;525;41,31;5;0,39;0,95;7;0,55;1,33;513;40,36;97,71;4;LLR;M;CHAZOT;Pierre-Martin;Mauguio-Carnon c'est Vous;39;3,07;7,60;CHAZOT Pierre-Martin;34154;43.620173, 4.006204;MORASTEL -A-;76;Occitanie;FXX
34;Hérault;Rosis;0001;274;117;42,70;157;57,30;17;6,20;10,83;13;4,74;8,28;127;46,35;80,89;11;NC;F;MARTY;Roxane;;0;0,00;0,00;MARTY Roxane;34235;43.642614, 3.027909;MAIRIE;76;Occitanie;FXX
34;Hérault;Cabrerolles;0001;315;30;9,52;285;90,48;0;0,00;0,00;2;0,63;0,70;283;89,84;99,30;23;NC;F;HERMENT;Anne-Marie;;134;42,54;47,35;HERMENT Anne-Marie;34044;;;76;Occitanie;FXX
34;Hérault;Saint-Jean-de-Védas;0004;893;399;44,68;494;55,32;4;0,45;0,81;6;0,67;1,21;484;54,20;97,98;1;LDVD;M;CHAVEROCHE;Eric;UNE NOUVELLE ENERGIE POUR SAINT JEAN;12;1,34;2,48;CHAVEROCHE Eric;34270;43.574601, 3.831098;CHATEAU DU TERRAL;76;Occitanie;FXX
34;Hérault;Riols;0001;696;176;25,29;520;74,71;1;0,14;0,19;0;0,00;0,00;519;74,57;99,81;15;NC;F;PETIT MAILLET;Annick;;0;0,00;0,00;PETIT MAILLET Annick;34229;43.506401, 2.795077;MAIRIE;76;Occitanie;FXX
34;Hérault;Montpellier;0015;1367;857;62,69;510;37,31;18;1,32;3,53;8;0,59;1,57;484;35,41;94,90;3;LDIV;M;ALTRAD;Mohed;COEUR ECOLOGIE DEMOCRATIE;87;6,36;17,98;ALTRAD Mohed;34172;43.626515, 3.863863;ECOLE ELEMENT.EUGENE POTTIER;76;Occitanie;FXX
34;Hérault;Saint-Jean-de-Védas;0008;1135;604;53,22;531;46,78;8;0,70;1,51;2;0,18;0,38;521;45,90;98,12;4;LDVG;M;RIO;François;ÉCRIVONS ENSEMBLE L'AVENIR !;169;14,89;32,44;RIO François;34270;43.574601, 3.831098;GROUPE SCOLAIRE JEAN D'ORMESSON;76;Occitanie;FXX
34;Hérault;Lunel;0009;1228;691;56,27;537;43,73;5;0,41;0,93;7;0,57;1,30;525;42,75;97,77;1;LRN;F;PLANE;Julia;LUNEL SE RASSEMBLE;96;7,82;18,29;PLANE Julia;34145;43.674405, 4.134728;SALLE FOLQUET;76;Occitanie;FXX
34;Hérault;Marsillargues;0001;1213;589;48,56;624;51,44;12;0,99;1,92;8;0,66;1,28;604;49,79;96,79;4;LDIV;M;SPEZIALE;Patrice;L'AVENIR AVEC VOUS;314;25,89;51,99;SPEZIALE Patrice;34151;43.664295, 4.174453;Salle Jean Moulin-Est;76;Occitanie;FXX
34;Hérault;Montpellier;0118;1249;853;68,29;396;31,71;5;0,40;1,26;6;0,48;1,52;385;30,82;97,22;4;LUG;M;DELAFOSSE;Michaël;MONTPELLIER UNIE;153;12,25;39,74;DELAFOSSE Michaël;34172;43.614655, 3.907746;MAISON POUR TOUS M. MERCOURI;76;Occitanie;FXX
34;Hérault;Murles;0001;311;44;14,15;267;85,85;2;0,64;0,75;2;0,64;0,75;263;84,57;98,50;20;NC;M;GUYOT;Pierre-Alain;;141;45,34;53,61;GUYOT Pierre-Alain;34177;43.688874, 3.745781;Salle Coquin;76;Occitanie;FXX
34;Hérault;Rosis;0001;274;117;42,70;157;57,30;17;6,20;10,83;13;4,74;8,28;127;46,35;80,89;22;NC;F;SAUTEREL;Anne-Lise;;120;43,80;94,49;SAUTEREL Anne-Lise;34235;43.642614, 3.027909;MAIRIE;76;Occitanie;FXX
34;Hérault;Villemagne-l'Argentière;0001;393;62;15,78;331;84,22;4;1,02;1,21;5;1,27;1,51;322;81,93;97,28;20;NC;M;NUEZ;Patrick;;172;43,77;53,42;NUEZ Patrick;34335;43.618847, 3.119314;SALLE POLYVALENTE;76;Occitanie;FXX
34;Hérault;Montpellier;0076;522;388;74,33;134;25,67;4;0,77;2,99;7;1,34;5,22;123;23,56;91,79;1;LDVG;M;SAUREL;Philippe;MONTPELLIER LA CITOYENNE;39;7,47;31,71;SAUREL Philippe;34172;43.605028, 3.857863;ECOLE ELEMENT.FREDERIC BAZILLE;76;Occitanie;FXX
34;Hérault;Pérols;0008;872;402;46,10;470;53,90;5;0,57;1,06;4;0,46;0,85;461;52,87;98,09;1;LDVD;F;PROST;Cathy;Pérols Démocratie Citoyenne;97;11,12;21,04;PROST Cathy;34198;43.563846, 3.953727;SALLE YVES ABRIC (8);76;Occitanie;FXX
34;Hérault;Prades-le-Lez;0001;1073;471;43,90;602;56,10;7;0,65;1,16;7;0,65;1,16;588;54,80;97,67;2;LDVG;M;LUSSERT;Jean-Marc;Agir ensemble naturellement;172;16,03;29,25;LUSSERT Jean-Marc;34217;43.697414, 3.864707;SALLE DU CONSEIL MUNICIPAL;76;Occitanie;FXX
34;Hérault;Lunel;0016;1216;706;58,06;510;41,94;5;0,41;0,98;8;0,66;1,57;497;40,87;97,45;2;LDVD;M;ARNAUD;Claude;BIEN VIVRE À LUNEL;169;13,90;34,00;ARNAUD Claude;34145;43.688161, 4.124309;ECOLE CAMILLE CLAUDEL;76;Occitanie;FXX
34;Hérault;Villeneuve-lès-Maguelone;0004;914;391;42,78;523;57,22;12;1,31;2,29;5;0,55;0,96;506;55,36;96,75;3;LDVG;M;SEGURA;Noël;VILLENEUVE, L'AVENIR AVEC VOUS;269;29,43;53,16;SEGURA Noël;34337;43.529096, 3.868179;GROUPE SCOLAIRE F. DOLTO;76;Occitanie;FXX
34;Hérault;Clermont-l'Hérault;0006;1058;528;49,91;530;50,09;10;0,95;1,89;9;0,85;1,70;511;48,30;96,42;3;LDVG;F;PASSIEUX;Marie;Clermontais.es une équipe à vos côtés;162;15,31;31,70;PASSIEUX Marie;34079;43.630085, 3.429377;6 - SALLE G. BRASSENS-34800 CLERMONT-L'HERAULT;76;Occitanie;FXX
34;Hérault;Lunel;0006;1083;594;54,85;489;45,15;5;0,46;1,02;10;0,92;2,04;474;43,77;96,93;5;LDIV;M;SOUJOL;Pierre;MON PARTI C'EST LUNEL;212;19,58;44,73;SOUJOL Pierre;34145;43.67095, 4.126253;ECOLE MARIO ROUSTAN;76;Occitanie;FXX
34;Hérault;Mèze;0009;641;177;27,61;464;72,39;0;0,00;0,00;3;0,47;0,65;461;71,92;99,35;1;LDVD;M;ARMENTIER;Joël;UNION DES DROITES POUR LE RASSEMBLEMENT MEZOIS;19;2,96;4,12;ARMENTIER Joël;34157;43.425997, 3.602829;LA MAISON DU TEMPS LIBRE;76;Occitanie;FXX
34;Hérault;Cruzy;0001;794;155;19,52;639;80,48;5;0,63;0,78;9;1,13;1,41;625;78,72;97,81;5;NC;M;CACCOMO;Antoine;;0;0,00;0,00;CACCOMO Antoine;34092;43.354805, 2.941654;BUREAU DE LA MAIRIE;76;Occitanie;FXX
34;Hérault;Grabels;0004;965;516;53,47;449;46,53;16;1,66;3,56;10;1,04;2,23;423;43,83;94,21;3;LDVC;M;MORVAN;Régis;ENSEMBLE POUR QUE GRABELS AVANCE;34;3,52;8,04;MORVAN Régis;34116;43.646563, 3.801335;BUREAU N° 4 - HALL A;76;Occitanie;FXX
34;Hérault;Lodève;0002;964;434;45,02;530;54,98;9;0,93;1,70;7;0,73;1,32;514;53,32;96,98;4;LEXD;M;MAURIN;Gérard;Le Rassemblement pour Lodève;30;3,11;5,84;MAURIN Gérard;34142;43.732444, 3.314736;ESPACE LUTEVA;76;Occitanie;FXX
34;Hérault;Sète;0001;992;486;48,99;506;51,01;7;0,71;1,38;8;0,81;1,58;491;49,50;97,04;4;LUG;F;CALUEBA;Véronique;ENSEMBLE POUR SÈTE!;187;18,85;38,09;CALUEBA Véronique;34301;43.401572, 3.694755;MAIRIE DE SETE - (Service Citoyenneté);76;Occitanie;FXX
34;Hérault;Ferrières-Poussarou;0001;97;3;3,09;94;96,91;0;0,00;0,00;0;0,00;0,00;94;96,91;100,00;15;NC;M;MARINIER;Pierre;;0;0,00;0,00;MARINIER Pierre;34100;43.490111, 2.951396;MAIRIE;76;Occitanie;FXX
34;Hérault;Montpellier;0005;753;482;64,01;271;35,99;4;0,53;1,48;2;0,27;0,74;265;35,19;97,79;4;LUG;M;DELAFOSSE;Michaël;MONTPELLIER UNIE;151;20,05;56,98;DELAFOSSE Michaël;34172;43.609125, 3.88437;SALLE PAGEZY;76;Occitanie;FXX
34;Hérault;Montpellier;0060;1513;1046;69,13;467;30,87;19;1,26;4,07;12;0,79;2,57;436;28,82;93,36;1;LDVG;M;SAUREL;Philippe;MONTPELLIER LA CITOYENNE;163;10,77;37,39;SAUREL Philippe;34172;43.595438, 3.863407;ECOLE ELEMENTAIRE VOLTAIRE;76;Occitanie;FXX
34;Hérault;Riols;0001;696;176;25,29;520;74,71;1;0,14;0,19;0;0,00;0,00;519;74,57;99,81;8;NC;M;PITMAN;Michel;;0;0,00;0,00;PITMAN Michel;34229;43.506401, 2.795077;MAIRIE;76;Occitanie;FXX
34;Hérault;Vailhauquès;0002;1105;398;36,02;707;63,98;11;1,00;1,56;11;1,00;1,56;685;61,99;96,89;1;LNC;M;ALMALLAK;Hussam;VAILHAUQUES C'EST VOUS;362;32,76;52,85;ALMALLAK Hussam;34320;43.66931, 3.7182;BUREAU 2;76;Occitanie;FXX
34;Hérault;Agde;0005;904;411;45,46;493;54,54;9;1,00;1,83;2;0,22;0,41;482;53,32;97,77;2;LRN;M;COUSIN;Jean Louis;RASSEMBLEMENT AGATHOIS;29;3,21;6,02;COUSIN Jean Louis;34003;43.285834, 3.445679;MAISON DES SERVICES PUBLICS DU GRAU D'AGDE 1ER ETAGE;76;Occitanie;FXX
34;Hérault;Agde;0013;1028;520;50,58;508;49,42;14;1,36;2,76;8;0,78;1,57;486;47,28;95,67;5;LLR;M;D'ETTORE;Gilles;L'UNION AGATHOISE AVEC GILLES D'ETTORE;268;26,07;55,14;D'ETTORE Gilles;34003;43.299488, 3.462967;MÉDIATHÈQUE - ANCIEN CENTRE DES MOYENS TECHNIQUES;76;Occitanie;FXX
34;Hérault;Montpellier;0120;1362;1008;74,01;354;25,99;15;1,10;4,24;6;0,44;1,69;333;24,45;94,07;1;LDVG;M;SAUREL;Philippe;MONTPELLIER LA CITOYENNE;111;8,15;33,33;SAUREL Philippe;34172;43.633718, 3.831416;ECOLE MATERNELLE M. YOURCENAR;76;Occitanie;FXX
34;Hérault;Lunel-Viel;0001;1559;621;39,83;938;60,17;22;1,41;2,35;17;1,09;1,81;899;57,67;95,84;1;LDIV;M;TINEL;Norbert;L'alternative 2020;455;29,19;50,61;TINEL Norbert;34146;43.675579, 4.090756;Bureau N° 01 - salle ROUX;76;Occitanie;FXX
34;Hérault;Agde;0016;938;409;43,60;529;56,40;9;0,96;1,70;5;0,53;0,95;515;54,90;97,35;2;LRN;M;COUSIN;Jean Louis;RASSEMBLEMENT AGATHOIS;40;4,26;7,77;COUSIN Jean Louis;34003;43.288405, 3.472415;ABRI DES PELERINS;76;Occitanie;FXX
34;Hérault;Montpellier;0084;1398;879;62,88;519;37,12;13;0,93;2,50;4;0,29;0,77;502;35,91;96,72;4;LUG;M;DELAFOSSE;Michaël;MONTPELLIER UNIE;201;14,38;40,04;DELAFOSSE Michaël;34172;43.604173, 3.845052;ECOLE ELEMENTAIRE SUN YAT SEN;76;Occitanie;FXX
34;Hérault;Riols;0001;696;176;25,29;520;74,71;1;0,14;0,19;0;0,00;0,00;519;74,57;99,81;10;NC;M;COULON;Roger;;0;0,00;0,00;COULON Roger;34229;43.506401, 2.795077;MAIRIE;76;Occitanie;FXX
34;Hérault;Agde;0023;485;293;60,41;192;39,59;3;0,62;1,56;0;0,00;0,00;189;38,97;98,44;5;LLR;M;D'ETTORE;Gilles;L'UNION AGATHOISE AVEC GILLES D'ETTORE;116;23,92;61,38;D'ETTORE Gilles;34003;43.295156, 3.479813;GROUPE SCOLAIRE DU LITTORAL (ELEMENTAIRE 2);76;Occitanie;FXX
34;Hérault;La Livinière;0001;418;173;41,39;245;58,61;4;0,96;1,63;8;1,91;3,27;233;55,74;95,10;15;NC;M;BERNARD;Sébastien;;101;24,16;43,35;BERNARD Sébastien;34141;43.315295, 2.637422;MAIRIE DE LA LIVINIERE;76;Occitanie;FXX
34;Hérault;Montpellier;0093;1098;856;77,96;242;22,04;3;0,27;1,24;3;0,27;1,24;236;21,49;97,52;4;LUG;M;DELAFOSSE;Michaël;MONTPELLIER UNIE;71;6,47;30,08;DELAFOSSE Michaël;34172;43.628094, 3.817721;ECOLE MATERNELLE JAMES JOYCE;76;Occitanie;FXX
34;Hérault;La Vacquerie-et-Saint-Martin-de-Castries;0001;210;61;29,05;149;70,95;4;1,90;2,68;7;3,33;4,70;138;65,71;92,62;6;NC;M;PONS;Frédéric;;7;3,33;5,07;PONS Frédéric;34317;43.789488, 3.459752;MAIRIE;76;Occitanie;FXX
34;Hérault;Mauguio;0006;1271;746;58,69;525;41,31;5;0,39;0,95;7;0,55;1,33;513;40,36;97,71;3;LDIV;M;BOURGUET;Daniel;ALTERNATIVE CITOYENNE;144;11,33;28,07;BOURGUET Daniel;34154;43.620173, 4.006204;MORASTEL -A-;76;Occitanie;FXX
34;Hérault;Montpellier;0111;1040;709;68,17;331;31,83;1;0,10;0,30;4;0,38;1,21;326;31,35;98,49;3;LDIV;M;ALTRAD;Mohed;COEUR ECOLOGIE DEMOCRATIE;49;4,71;15,03;ALTRAD Mohed;34172;43.614655, 3.907746;MAISON POUR TOUS M. MERCOURI;76;Occitanie;FXX
34;Hérault;Vailhauquès;0001;974;363;37,27;611;62,73;16;1,64;2,62;5;0,51;0,82;590;60,57;96,56;1;LNC;M;ALMALLAK;Hussam;VAILHAUQUES C'EST VOUS;336;34,50;56,95;ALMALLAK Hussam;34320;43.66931, 3.7182;BUREAU 1;76;Occitanie;FXX
34;Hérault;Murles;0001;311;44;14,15;267;85,85;2;0,64;0,75;2;0,64;0,75;263;84,57;98,50;31;NC;F;SUAU;Amandine;;0;0,00;0,00;SUAU Amandine;34177;43.688874, 3.745781;Salle Coquin;76;Occitanie;FXX
