Code Officiel du département;Nom Officiel du département;Nom Officiel Commune;Code B.Vote;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs;% Blancs/Ins;% Blancs/Vot;Nuls;% Nuls/Ins;% Nuls/Vot;Exprimés;% Exp/Ins;% Exp/Vot;N.Pan.;Code Nuance;Sexe;Nom;Prénom;Liste;Voix;% Voix/Ins;% Voix/Exp;Nom Prénom;Code Officiel Commune;Localisation;Nom du bureau;Code Officiel Région;Nom Officiel Région;Code Iso 3166-3 Zone
34;Hérault;Riols;0001;696;176;25,29;520;74,71;1;0,14;0,19;0;0,00;0,00;519;74,57;99,81;12;NC;M;MININGER;Dominique;;0;0,00;0,00;MININGER Dominique;34229;43.506401, 2.795077;MAIRIE;76;Occitanie;FXX
34;Hérault;Montpellier;0089;1017;714;70,21;303;29,79;4;0,39;1,32;1;0,10;0,33;298;29,30;98,35;1;LDVG;M;SAUREL;Philippe;MONTPELLIER LA CITOYENNE;166;16,32;55,70;SAUREL Philippe;34172;43.62536, 3.814187;ECOLE ELEMENTAIRE HEIDELBERG;76;Occitanie;FXX
34;Hérault;Rosis;0001;274;117;42,70;157;57,30;17;6,20;10,83;13;4,74;8,28;127;46,35;80,89;10;NC;F;FONTA;Florence;;0;0,00;0,00;FONTA Florence;34235;43.642614, 3.027909;MAIRIE;76;Occitanie;FXX
34;Hérault;Saint-Jean-de-Védas;0007;985;414;42,03;571;57,97;4;0,41;0,70;7;0,71;1,23;560;56,85;98,07;1;LDVD;M;CHAVEROCHE;Eric;UNE NOUVELLE ENERGIE POUR SAINT JEAN;23;2,34;4,11;CHAVEROCHE Eric;34270;43.574601, 3.831098;GROUPE SCOLAIRE RENE CASSIN;76;Occitanie;FXX
34;Hérault;Bédarieux;0002;644;267;41,46;377;58,54;5;0,78;1,33;1;0,16;0,27;371;57,61;98,41;6;LDVG;M;BARSSE;Francis;2020 BEDARIEUX POUR VOUS;113;17,55;30,46;BARSSE Francis;34028;43.615413, 3.158037;Salle Achille BEX;76;Occitanie;FXX
34;Hérault;Montpellier;0119;1066;765;71,76;301;28,24;10;0,94;3,32;1;0,09;0,33;290;27,20;96,35;1;LDVG;M;SAUREL;Philippe;MONTPELLIER LA CITOYENNE;152;14,26;52,41;SAUREL Philippe;34172;43.633838, 3.817125;ECOLE MAT. NICOLAS COPERNIC;76;Occitanie;FXX
34;Hérault;Sète;0023;1035;517;49,95;518;50,05;7;0,68;1,35;10;0,97;1,93;501;48,41;96,72;2;LDVD;M;PACULL;Sébastien;UNION DES DROITES ET DES CITOYENS;66;6,38;13,17;PACULL Sébastien;34301;43.407114, 3.686958;RESTAURANT SCOLAIRE JEAN MACE;76;Occitanie;FXX
34;Hérault;Montpellier;0039;1423;986;69,29;437;30,71;19;1,34;4,35;4;0,28;0,92;414;29,09;94,74;3;LDIV;M;ALTRAD;Mohed;COEUR ECOLOGIE DEMOCRATIE;86;6,04;20,77;ALTRAD Mohed;34172;43.604536, 3.894354;ECOLE ELEMENTAIRE JEAN JAURES;76;Occitanie;FXX
34;Hérault;Montpellier;0126;926;691;74,62;235;25,38;8;0,86;3,40;3;0,32;1,28;224;24,19;95,32;4;LUG;M;DELAFOSSE;Michaël;MONTPELLIER UNIE;70;7,56;31,25;DELAFOSSE Michaël;34172;43.581118, 3.876875;MAISON DE QUARTIER CAILLENS;76;Occitanie;FXX
34;Hérault;Villemagne-l'Argentière;0001;393;62;15,78;331;84,22;4;1,02;1,21;5;1,27;1,51;322;81,93;97,28;18;NC;F;FREDIER;Laurence;;177;45,04;54,97;FREDIER Laurence;34335;43.618847, 3.119314;SALLE POLYVALENTE;76;Occitanie;FXX
34;Hérault;Maraussan;0002;1173;599;51,07;574;48,93;12;1,02;2,09;5;0,43;0,87;557;47,49;97,04;1;LDVD;M;FABRE;Frédéric;AGIR JUSTE POUR MARAUSSAN;124;10,57;22,26;FABRE Frédéric;34148;43.365914, 3.158095;Centre Associatif Culturel Esprit G;76;Occitanie;FXX
34;Hérault;Graissessac;0001;501;86;17,17;415;82,83;2;0,40;0,48;9;1,80;2,17;404;80,64;97,35;25;NC;F;MOCZULSKI;Veronique;;0;0,00;0,00;MOCZULSKI Veronique;34117;43.676779, 3.094974;SALLE JEAN MOULIN;76;Occitanie;FXX
34;Hérault;Montpellier;0081;1037;740;71,36;297;28,64;8;0,77;2,69;4;0,39;1,35;285;27,48;95,96;3;LDIV;M;ALTRAD;Mohed;COEUR ECOLOGIE DEMOCRATIE;34;3,28;11,93;ALTRAD Mohed;34172;43.600649, 3.845614;ECOLE MATERN.LILY BOULANGER;76;Occitanie;FXX
34;Hérault;Montpellier;0072;1257;736;58,55;521;41,45;14;1,11;2,69;1;0,08;0,19;506;40,25;97,12;4;LUG;M;DELAFOSSE;Michaël;MONTPELLIER UNIE;305;24,26;60,28;DELAFOSSE Michaël;34172;43.605879, 3.862286;ECOLE MATERNELLE DU DR ROUX;76;Occitanie;FXX
34;Hérault;Pézenas;0002;895;387;43,24;508;56,76;7;0,78;1,38;8;0,89;1,57;493;55,08;97,05;3;LDVD;M;LEROGNON;Bruno;RASSEMBLEMENT POUR PEZENAS;24;2,68;4,87;LEROGNON Bruno;34199;43.459673, 3.421826;MAIRIE RESTAURANT PERSONNES AG;76;Occitanie;FXX
34;Hérault;Villeneuve-lès-Béziers;0003;1205;518;42,99;687;57,01;19;1,58;2,77;0;0,00;0,00;668;55,44;97,23;2;LDVD;M;MARC;Jean-Pierre;CHOISIR NOTRE VILLE;151;12,53;22,60;MARC Jean-Pierre;34336;43.324476, 3.279343;CLUB HOUSE;76;Occitanie;FXX
34;Hérault;Montpellier;0012;1118;708;63,33;410;36,67;16;1,43;3,90;3;0,27;0,73;391;34,97;95,37;1;LDVG;M;SAUREL;Philippe;MONTPELLIER LA CITOYENNE;114;10,20;29,16;SAUREL Philippe;34172;43.610476, 3.87048;ECOLE ANATOLE FRANCE;76;Occitanie;FXX
