Date référence;Numéro commune;Nom commune;RSA ou PPA;Nombre foyers RSA_PPA;Nombre personnes RSA_PPA
2020-12;68182;LEYMEN;RSA seul;5;10
2020-12;68185;LIEPVRE;RSA seul;10;25
2020-12;68189;LOGELHEIM;RSA seul;5;5
2020-12;68201;MASEVAUX NIEDERBRUCK;RSA seul;45;95
2020-12;68202;MERTZEN;RSA seul;0;0
2020-12;68203;MERXHEIM;RSA seul;10;10
2020-12;68205;MEYENHEIM;RSA seul;0;0
2020-12;41044;CHATRES SUR CHER;RSA seul;25;60
2020-12;41052;CHITENAY;RSA seul;5;10
2020-12;41054;CHOUSSY;RSA seul;10;15
2020-12;41063;COUFFY;RSA seul;0;0
2020-12;41084;LA FERTE IMBAULT;RSA seul;15;30
2020-12;41085;LA FERTE SAINT CYR;RSA seul;10;20
2020-12;41094;FRESNES;RSA seul;5;5
2020-12;41095;FRETEVAL;RSA seul;25;50
2020-12;41096;LE GAULT DU PERCHE;RSA seul;10;15
2020-12;41097;GIEVRES;RSA seul;75;180
2020-12;41098;GOMBERGEAN;RSA seul;0;0
2020-12;41099;GY EN SOLOGNE;RSA seul;5;10
2020-12;41106;LAMOTTE BEUVRON;RSA seul;70;125
2020-12;41112;LASSAY SUR CROISNE;RSA seul;0;0
2020-12;41116;LISLE;RSA seul;0;0
2020-12;41119;LORGES;RSA seul;10;10
2020-12;41122;MARAY;RSA seul;5;10
2020-12;41123;MARCHENOIR;RSA seul;10;25
2020-12;41124;MARCILLY EN BEAUCE;RSA seul;0;0
2020-12;41128;MAROLLES;RSA seul;5;10
2020-12;41129;MASLIVES;RSA seul;10;25
2020-12;41132;MEHERS;RSA seul;0;0
2020-12;41136;MER;RSA seul;150;320
2020-12;41137;MESLAND;RSA seul;5;5
2020-12;41149;MONTOIRE SUR LE LOIR;RSA seul;75;155
2020-12;41150;MONT PRES CHAMBORD;RSA seul;25;40
2020-12;41157;MUR DE SOLOGNE;RSA seul;10;25
2020-12;41158;NAVEIL;RSA seul;25;65
2020-12;41160;NEUVY;RSA seul;0;0
2020-12;41164;NOYERS SUR CHER;RSA seul;75;180
2020-12;41166;OISLY;RSA seul;5;10
2020-12;41180;PONTLEVOY;RSA seul;20;40
2020-12;41185;PRUNIERS EN SOLOGNE;RSA seul;30;60
2020-12;41189;RILLY SUR LOIRE;RSA seul;0;0
2020-12;41193;ROMILLY;RSA seul;5;5
2020-12;42030;BUSSY ALBIEUX;RSA seul;0;0
2020-12;42033;LE CERGNE;RSA seul;0;0
2020-12;42067;COLOMBIER;RSA seul;5;10
2020-12;42072;LA COTE EN COUZAN;RSA seul;0;0
2020-12;42076;CREMEAUX;RSA seul;10;15
2020-12;42081;CUZIEU;RSA seul;5;10
2020-12;42083;DARGOIRE;RSA seul;0;0
2020-12;42085;DOIZIEUX;RSA seul;0;0
2020-12;42086;ECOCHE;RSA seul;5;15
2020-12;42089;ESSERTINES EN CHATELNEUF;RSA seul;0;0
2020-12;42090;ESSERTINES EN DONZY;RSA seul;5;15
2020-12;42092;L'ETRAT;RSA seul;20;40
2020-12;42100;LA GIMOND;RSA seul;0;0
2020-12;42104;LA GRESLE;RSA seul;5;10
2020-12;42110;L'HORME;RSA seul;115;250
2020-12;42113;JAS;RSA seul;0;0
2020-12;42115;JONZIEUX;RSA seul;0;0
2020-12;42116;JURE;RSA seul;0;0
2020-12;42121;LERIGNEUX;RSA seul;0;0
2020-12;42124;LUPE;RSA seul;0;0
2020-12;42127;MABLY;RSA seul;140;300
2020-12;42128;MACHEZAL;RSA seul;5;10
2020-12;42131;MAIZILLY;RSA seul;5;10
2020-12;42133;MARCENOD;RSA seul;0;0
2020-12;42134;MARCILLY LE CHATEL;RSA seul;15;25
2020-12;42136;MARCOUX;RSA seul;5;10
2020-12;65458;UZ;RSA seul;0;0
2020-12;65461;VIDOU;RSA seul;5;5
