dep,pct_foyers_imposes,revenu_fiscal_moyen_par_foyer,ratio_actifs_retraites,annee
010,48.47,36.65,2.05,2024
020,37.91,25.7,1.67,2024
030,40.07,25.66,1.22,2024
040,40.27,26.96,1.34,2024
050,43.31,27.82,1.44,2024
060,48.32,32.95,1.73,2024
070,41.2,27.3,1.41,2024
080,37.78,25.63,1.51,2024
090,36.12,23.79,1.3,2024
100,41.78,28.05,1.62,2024
110,35.63,24.7,1.28,2024
120,40.16,27.06,1.26,2024
131,42.27,30.15,2.0,2024
132,47.76,33.32,1.87,2024
140,45.01,29.91,1.66,2024
150,39.81,25.89,1.18,2024
160,41.65,27.13,1.42,2024
170,44.08,29.6,1.28,2024
180,42.72,26.97,1.36,2024
190,42.52,27.21,1.29,2024
210,49.24,31.66,1.77,2024
220,44.25,29.05,1.32,2024
230,35.96,23.24,1.03,2024
240,38.76,25.95,1.19,2024
250,50.34,32.8,1.88,2024
260,42.71,29.04,1.65,2024
270,44.7,29.25,1.76,2024
280,47.19,30.33,1.76,2024
290,46.79,30.0,1.44,2024
2A0,46.21,30.42,1.68,2024
2B0,40.64,26.96,1.56,2024
300,38.73,26.86,1.5,2024
310,48.48,31.83,2.45,2024
320,39.6,26.77,1.26,2024
330,47.69,31.97,2.02,2024
340,40.76,28.37,1.75,2024
350,48.22,32.33,2.06,2024
360,39.72,25.29,1.23,2024
370,46.25,30.38,1.75,2024
380,49.64,32.56,1.98,2024
390,46.57,29.97,1.52,2024
400,43.61,29.14,1.4,2024
410,44.53,28.63,1.43,2024
420,41.52,28.15,1.58,2024
430,40.2,27.27,1.37,2024
440,49.33,32.89,2.05,2024
450,47.58,30.28,1.85,2024
460,40.86,26.87,1.16,2024
470,37.99,25.88,1.36,2024
480,39.28,25.48,1.32,2024
490,43.0,29.84,1.82,2024
500,44.18,29.0,1.36,2024
510,46.84,31.34,1.86,2024
520,40.31,25.63,1.35,2024
530,42.36,29.06,1.57,2024
540,42.94,29.97,1.72,2024
550,40.7,26.93,1.43,2024
560,46.81,30.64,1.36,2024
570,40.24,30.53,1.62,2024
580,40.19,25.1,1.1,2024
591,42.64,29.64,2.13,2024
592,34.66,24.25,1.72,2024
600,46.59,30.75,2.0,2024
610,39.8,26.4,1.3,2024
620,37.39,25.97,1.73,2024
630,46.04,29.42,1.64,2024
640,45.83,31.17,1.53,2024
650,39.07,25.15,1.3,2024
660,36.47,24.98,1.32,2024
670,49.36,32.31,2.02,2024
680,50.89,35.75,1.86,2024
690,51.0,35.23,2.4,2024
700,41.54,27.0,1.44,2024
710,43.48,28.3,1.36,2024
720,43.2,28.19,1.57,2024
730,52.56,33.67,1.81,2024
740,50.79,43.4,2.44,2024
754,61.53,57.77,3.81,2024
755,54.02,35.53,3.09,2024
756,55.89,53.1,3.54,2024
757,65.0,83.68,2.46,2024
758,58.6,49.68,2.45,2024
760,43.47,28.78,1.76,2024
770,51.31,32.74,2.63,2024
780,59.03,45.38,2.54,2024
790,42.32,28.41,1.52,2024
800,40.65,27.33,1.72,2024
810,39.04,26.93,1.36,2024
820,39.22,26.66,1.56,2024
830,45.62,31.74,1.39,2024
840,39.81,27.39,1.68,2024
850,45.07,30.65,1.4,2024
860,42.42,27.3,1.6,2024
870,42.23,27.0,1.41,2024
880,40.74,26.81,1.43,2024
890,43.05,27.36,1.43,2024
900,47.21,30.48,1.76,2024
910,53.13,34.38,2.76,2024
921,58.9,50.08,3.19,2024
922,64.78,52.34,2.77,2024
930,38.27,24.53,3.36,2024
940,51.64,34.74,2.86,2024
950,47.39,31.42,2.9,2024
971,24.81,20.22,1.97,2024
972,28.48,22.13,1.93,2024
973,23.96,20.27,4.91,2024
974,22.79,21.18,2.93,2024
976,16.07,17.93,13.73,2024
B31,42.62,22.28,1.6,2024
