dep,pct_foyers_imposes,revenu_fiscal_moyen_par_foyer,ratio_actifs_retraites,annee
010,50.17,28.98,2.07,2014
020,40.27,21.78,1.72,2014
030,41.55,21.39,1.24,2014
040,42.4,22.49,1.41,2014
050,44.83,23.17,1.57,2014
060,50.57,26.63,1.66,2014
070,41.34,22.32,1.47,2014
080,39.29,21.55,1.61,2014
090,37.35,20.14,1.34,2014
100,44.99,23.71,1.69,2014
110,36.44,20.39,1.32,2014
120,39.94,22.11,1.25,2014
131,44.89,23.53,1.76,2014
132,48.95,26.52,1.88,2014
140,46.2,24.3,1.73,2014
150,37.78,20.9,1.2,2014
160,42.01,22.62,1.45,2014
170,43.69,23.75,1.33,2014
180,44.83,22.79,1.41,2014
190,43.6,22.56,1.3,2014
210,51.51,26.06,1.8,2014
220,43.88,23.55,1.31,2014
230,35.5,19.27,1.04,2014
240,38.94,21.28,1.24,2014
250,50.99,26.03,1.93,2014
260,43.56,23.65,1.71,2014
270,47.96,24.72,1.93,2014
280,50.43,25.9,1.84,2014
290,46.38,24.25,1.46,2014
2A0,44.97,23.48,1.69,2014
2B0,38.94,21.28,1.55,2014
300,40.28,22.3,1.55,2014
310,51.84,27.07,2.35,2014
320,39.34,22.01,1.3,2014
330,48.51,25.57,1.95,2014
340,42.0,23.06,1.71,2014
350,48.06,25.81,1.98,2014
360,41.04,21.61,1.28,2014
370,48.54,25.23,1.76,2014
380,51.52,26.71,2.04,2014
390,46.93,24.13,1.58,2014
400,44.45,23.57,1.44,2014
410,46.87,24.33,1.51,2014
420,43.61,23.29,1.55,2014
430,39.83,21.88,1.39,2014
440,49.42,26.55,1.97,2014
450,51.33,25.93,1.87,2014
460,40.78,22.11,1.2,2014
470,38.73,21.54,1.35,2014
480,39.15,21.0,1.34,2014
490,43.06,24.03,1.84,2014
500,42.22,22.94,1.4,2014
510,49.96,26.46,1.91,2014
520,42.09,21.56,1.44,2014
530,42.33,23.54,1.61,2014
540,45.23,24.39,1.75,2014
550,41.14,22.02,1.54,2014
560,45.75,24.31,1.42,2014
570,41.88,24.33,1.68,2014
580,42.92,21.47,1.14,2014
591,46.04,24.94,2.12,2014
592,34.96,19.57,1.67,2014
600,49.93,25.8,2.16,2014
610,40.64,21.72,1.36,2014
620,37.46,21.02,1.73,2014
630,47.8,24.37,1.65,2014
640,46.71,25.03,1.54,2014
650,41.88,21.51,1.36,2014
660,38.65,21.18,1.32,2014
670,51.41,26.87,2.06,2014
680,52.28,28.39,1.92,2014
690,53.32,28.23,2.22,2014
700,41.81,22.01,1.55,2014
710,44.8,23.27,1.41,2014
720,45.42,23.63,1.63,2014
730,52.89,26.48,1.89,2014
740,52.68,33.47,2.39,2014
754,63.28,41.27,3.65,2014
755,55.43,28.18,3.06,2014
756,59.06,40.11,3.2,2014
757,68.72,60.5,2.27,2014
758,62.15,38.72,2.44,2014
760,46.91,24.13,1.82,2014
770,56.5,28.29,2.68,2014
780,63.93,37.74,2.48,2014
790,41.9,23.29,1.56,2014
800,42.51,22.68,1.75,2014
810,39.31,22.29,1.36,2014
820,37.84,21.34,1.58,2014
830,46.99,25.15,1.4,2014
840,41.02,22.47,1.7,2014
850,43.82,24.03,1.5,2014
860,44.33,23.44,1.67,2014
870,44.86,22.83,1.43,2014
880,41.46,21.84,1.54,2014
890,45.77,23.22,1.48,2014
900,49.68,24.96,1.86,2014
910,59.54,30.3,2.66,2014
921,60.62,37.95,2.98,2014
922,67.65,41.4,2.63,2014
930,42.58,21.21,3.06,2014
940,56.45,29.19,2.73,2014
950,53.38,27.42,2.82,2014
971,26.75,16.68,2.16,2014
972,29.38,17.64,2.08,2014
973,26.99,17.01,5.66,2014
974,24.09,17.3,3.11,2014
976,5.54,8.74,10.67,2014
B31,54.72,17.41,1.88,2014
