Date référence;Numéro commune;Nom commune;RSA ou PPA;Nombre foyers RSA_PPA;Nombre personnes RSA_PPA
2024-12;33362;SABLONS;RSA seul;25;60
2024-12;33364;SAILLANS;RSA seul;0;0
2024-12;33376;SAINT AUBIN DE MEDOC;RSA seul;60;115
2024-12;33378;SAINT AVIT SAINT NAZAIRE;RSA seul;45;120
2024-12;33383;SAINT CHRISTOLY MEDOC;RSA seul;5;5
2024-12;33386;SAINT CIBARD;RSA seul;0;0
2024-12;33387;SAINT CIERS D ABZAC;RSA seul;35;75
2024-12;33388;SAINT CIERS DE CANESSE;RSA seul;20;30
2024-12;33395;SAINT ESTEPHE;RSA seul;30;70
2024-12;33412;SAINT GERMAIN D ESTEUIL;RSA seul;15;45
2024-12;33416;SAINT GIRONS D AIGUEVIVES;RSA seul;10;25
2024-12;33417;SAINTE HELENE;RSA seul;30;70
2024-12;33418;SAINT HILAIRE DE LA NOAILLE;RSA seul;5;5
2024-12;33424;SAINT LAURENT MEDOC;RSA seul;35;55
2024-12;33425;SAINT LAURENT D ARCE;RSA seul;10;10
2024-12;33426;SAINT LAURENT DES COMBES;RSA seul;5;5
2024-12;33427;SAINT LAURENT DU BOIS;RSA seul;5;10
2024-12;33431;SAINT LEON;RSA seul;0;0
2024-12;33435;SAINT MACAIRE;RSA seul;35;70
2024-12;33440;SAINT MARTIAL;RSA seul;0;0
2024-12;33443;SAINT MARTIN DE LERM;RSA seul;0;0
2024-12;33458;SAINT PAUL;RSA seul;15;25
2024-12;33463;SAINT PIERRE D AURILLAC;RSA seul;15;25
2024-12;33468;SAINTE RADEGONDE;RSA seul;10;20
2024-12;33474;SAINT SELVE;RSA seul;10;10
2024-12;33483;SAINT SULPICE ET CAMEYRAC;RSA seul;50;105
2024-12;33487;SAINT VINCENT DE PAUL;RSA seul;35;70
2024-12;33489;SAINT VIVIEN DE BLAYE;RSA seul;5;5
2024-12;33499;LES SALLES DE CASTILLON;RSA seul;10;20
2024-12;33500;SAMONAC;RSA seul;10;15
2024-12;33503;SAUMOS;RSA seul;0;0
2024-12;33508;SAVIGNAC;RSA seul;0;0
2024-12;33511;SENDETS;RSA seul;5;5
2024-12;33521;TALAIS;RSA seul;10;25
2024-12;33522;TALENCE;RSA seul;1270;2690
2024-12;33525;TAURIAC;RSA seul;15;35
2024-12;33526;TAYAC;RSA seul;0;0
2024-12;33527;LE TEICH;RSA seul;80;135
2024-12;33528;LE TEMPLE;RSA seul;5;5
2024-12;33529;LA TESTE DE BUCH;RSA seul;380;610
2024-12;33532;TIZAC DE LAPOUYADE;RSA seul;5;5
2024-12;33536;LE TUZAN;RSA seul;5;5
2024-12;33544;LE VERDON SUR MER;RSA seul;35;55
2024-12;33547;VILLANDRAUT;RSA seul;20;40
2024-12;33554;YVRAC;RSA seul;30;50
2024-12;34002;ADISSAN;RSA seul;20;45
2024-12;34003;AGDE;RSA seul;1275;2315
2024-12;34004;AGEL;RSA seul;5;5
2024-12;34006;AIGNE;RSA seul;5;10
2024-12;34015;ASSIGNAN;RSA seul;5;10
2024-12;34018;AUTIGNAC;RSA seul;15;30
2024-12;34019;AVENE;RSA seul;10;10
2024-12;34021;BABEAU BOULDOUX;RSA seul;5;10
2024-12;34023;BALARUC LES BAINS;RSA seul;125;205
2024-12;34024;BALARUC LE VIEUX;RSA seul;30;50
2024-12;34026;BEAUFORT;RSA seul;0;0
2024-12;34027;BEAULIEU;RSA seul;20;30
2024-12;34038;LE BOUSQUET D ORB;RSA seul;60;125
2024-12;34042;BRISSAC;RSA seul;15;20
2024-12;21024;ARNAY SOUS VITTEAUX;RSA seul;0;0
2024-12;21027;ASNIERES LES DIJON;RSA seul;0;0
2024-12;21031;AUBIGNY EN PLAINE;RSA seul;0;0
2024-12;21032;AUBIGNY LA RONCE;RSA seul;0;0
2024-12;21034;AUTRICOURT;RSA seul;0;0
2024-12;21046;BARD LE REGULIER;RSA seul;0;0
2024-12;21048;BARGES;RSA seul;0;0
2024-12;21049;BARJON;RSA seul;0;0
2024-12;21051;BAULME LA ROCHE;RSA seul;0;0
2024-12;21054;BEAUNE;RSA seul;200;385
2024-12;21063;BENEUVRE;RSA seul;0;0
2024-12;21072;BEZOUOTTE;RSA seul;0;0
2024-12;21082;BLANCEY;RSA seul;0;0
2024-12;21088;BONCOURT LE BOIS;RSA seul;0;0
2024-12;21091;BOUHEY;RSA seul;0;0
2024-12;21096;BOUSSENOIS;RSA seul;0;0
2024-12;21103;BRAZEY EN PLAINE;RSA seul;15;45
2024-12;21110;BROCHON;RSA seul;0;0
2024-12;21121;BUSSY LA PESLE;RSA seul;0;0
2024-12;21127;CHAIGNAY;RSA seul;0;0
2024-12;21131;CHAMBLANC;RSA seul;0;0
2024-12;21290;GEMEAUX;RSA seul;0;0
2024-12;21299;GISSEY SOUS FLAVIGNY;RSA seul;0;0
2024-12;21300;GISSEY SUR OUCHE;RSA seul;0;0
2024-12;21312;GURGY LA VILLE;RSA seul;0;0
2024-12;21315;HAUTEVILLE LES DIJON;RSA seul;5;5
2024-12;21334;LACANCHE;RSA seul;5;10
2024-12;21345;LERY;RSA seul;0;0
2024-12;21350;LIGNEROLLES;RSA seul;0;0
2024-12;21370;MAGNY SUR TILLE;RSA seul;5;10
2024-12;21381;MARCILLY ET DRACY;RSA seul;0;0
2024-12;21396;MAUVILLY;RSA seul;0;0
2024-12;21398;MAXILLY SUR SAONE;RSA seul;0;0
2024-12;21399;MEILLY SUR ROUVRES;RSA seul;0;0
2024-12;21404;MENETREUX LE PITOIS;RSA seul;0;0
2024-12;21417;MISSERY;RSA seul;0;0
2024-12;21427;MONTCEAU ET ECHARNANT;RSA seul;0;0
2024-12;21428;MONTHELIE;RSA seul;0;0
2024-12;21432;MONTIGNY SUR AUBE;RSA seul;5;5
2024-12;21434;MONTLAY EN AUXOIS;RSA seul;0;0
2024-12;21437;MONTMANCON;RSA seul;0;0
2024-12;21442;MOREY SAINT DENIS;RSA seul;0;0
2024-12;21455;NOD SUR SEINE;RSA seul;0;0
2024-12;21457;NOIDAN;RSA seul;0;0
2024-12;21458;NOIRON SOUS GEVREY;RSA seul;0;0
2024-12;21476;PAINBLANC;RSA seul;0;0
2024-12;21488;POINCON LES LARREY;RSA seul;0;0
2024-12;21492;POMMARD;RSA seul;0;0
2024-12;21493;PONCEY LES ATHEE;RSA seul;5;5
2024-12;21495;PONT;RSA seul;0;0
2024-12;21496;PONTAILLER SUR SAONE;RSA seul;20;40
2024-12;21501;POUILLY EN AUXOIS;RSA seul;30;50
2024-12;21512;PULIGNY MONTRACHET;RSA seul;0;0
2024-12;21518;QUINCY LE VICOMTE;RSA seul;0;0
