Bord;R2_Train;R2_Val;MAE_Val;R2_2024;MAE_2024;CV_R2_Mean;CV_R2_Std;Overfit_Gap
EXTREME GAUCHE;0.6756222819267603;0.36293280275338846;0.28330173860575725;-0.07590508597797263;0.304598646783631;0.4258662789620339;0.09949748331763356;0.31268947917337186
GAUCHE;0.5076089148097449;0.25218866416675223;3.9520820125992167;0.11894283360880209;4.948027773820502;0.11293750607644008;0.034860648883012324;0.2554202506429927
CENTRE;0.6917873561471866;0.4677375239632299;4.310686293747131;-5.044341099911904;6.311741476901986;0.40136080323799705;0.0974352211428164;0.2240498321839567
DROITE;0.6998474375713836;0.3778822739062322;5.709873138441928;-3.4247512883752664;3.7569001182626747;0.3818759443328345;0.13185629429707288;0.3219651636651514
EXTREME DROITE;0.5641314361089161;0.32028818987763497;4.7008050717950445;-2.1217644419966244;12.373682239048;0.1814795709262166;0.11492049671781751;0.24384324623128117
